"user.id","game.title","behavior.name","value"
151603712,"Fallout 4","purchase",1
151603712,"Fallout 4","play",87
151603712,"Left 4 Dead 2","purchase",1
151603712,"Left 4 Dead 2","play",8.9
151603712,"HuniePop","purchase",1
151603712,"HuniePop","play",8.5
151603712,"Path of Exile","purchase",1
151603712,"Path of Exile","play",8.1
151603712,"Poly Bridge","purchase",1
151603712,"Poly Bridge","play",7.5
151603712,"Left 4 Dead","purchase",1
151603712,"Left 4 Dead","play",3.3
151603712,"Team Fortress 2","purchase",1
151603712,"Team Fortress 2","play",2.8
151603712,"Tomb Raider","purchase",1
151603712,"Tomb Raider","play",2.5
151603712,"The Banner Saga","purchase",1
151603712,"The Banner Saga","play",2
151603712,"BioShock Infinite","purchase",1
151603712,"BioShock Infinite","play",1.3
151603712,"Grand Theft Auto IV","purchase",1
151603712,"Grand Theft Auto IV","play",0.6
151603712,"Realm of the Mad God","purchase",1
151603712,"Realm of the Mad God","play",0.5
151603712,"Eldevin","purchase",1
151603712,"Eldevin","play",0.5
151603712,"Dota 2","purchase",1
151603712,"Dota 2","play",0.5
151603712,"Robocraft","purchase",1
151603712,"Robocraft","play",0.4
151603712,"Garry's Mod","purchase",1
151603712,"Garry's Mod","play",0.1
151603712,"Alan Wake","purchase",1
187131847,"Dota 2","purchase",1
187131847,"Dota 2","play",2.3
59945701,"L.A. Noire","purchase",1
59945701,"L.A. Noire","play",13.8
59945701,"7 Days to Die","purchase",1
59945701,"7 Days to Die","play",7.8
59945701,"Divekick","purchase",1
59945701,"Divekick","play",7
59945701,"FINAL FANTASY VII","purchase",1
59945701,"FINAL FANTASY VII","play",5.2
59945701,"Orcs Must Die! 2","purchase",1
59945701,"Orcs Must Die! 2","play",4.8
59945701,"Killing Floor","purchase",1
59945701,"Killing Floor","play",3.4
59945701,"Company of Heroes","purchase",1
59945701,"Company of Heroes","play",3.2
59945701,"Bastion","purchase",1
59945701,"Bastion","play",2.8
59945701,"Undertale","purchase",1
59945701,"Undertale","play",2.6
59945701,"Orcs Must Die!","purchase",1
59945701,"Orcs Must Die!","play",0.7
59945701,"THE KING OF FIGHTERS XIII STEAM EDITION","purchase",1
59945701,"THE KING OF FIGHTERS XIII STEAM EDITION","play",0.6
59945701,"GUILTY GEAR XX ACCENT CORE PLUS R","purchase",1
59945701,"GUILTY GEAR XX ACCENT CORE PLUS R","play",0.5
59945701,"Skullgirls","purchase",1
59945701,"Skullgirls","play",0.4
59945701,"Team Fortress 2","purchase",1
59945701,"Team Fortress 2","play",0.1
59945701,"Guilty Gear X2 #Reload","purchase",1
59945701,"Left 4 Dead 2","purchase",1
59945701,"Psychonauts","purchase",1
59945701,"Cities in Motion 2","purchase",1
59945701,"Company of Heroes 2","purchase",1
59945701,"Garry's Mod","purchase",1
59945701,"Magicka","purchase",1
59945701,"Natural Selection 2","purchase",1
59945701,"Sanctum","purchase",1
59945701,"Sanctum 2","purchase",1
53875128,"Grand Theft Auto V","purchase",1
53875128,"Grand Theft Auto V","play",86
53875128,"Insurgency","purchase",1
53875128,"Insurgency","play",72
